,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.652,0.64,0.648,0.668,0.652,0.664,0.664,0.684,0.668,0.652,0.664,0.668,0.688,0.652,0.668
F1,S,0.5618,0.5453,0.6318,0.6728,0.6507,0.6584,0.6668,0.6332,0.6194,0.6262,0.6281,0.6307,0.6655,0.6207,0.6608
Gmean,1,0.6354,0.6264,0.6623,0.6882,0.6712,0.6849,0.686,0.6923,0.6741,0.6619,0.6793,0.6738,0.7036,0.6595,0.6892
B_Acc,C,0.6455,0.6337,0.691,0.7285,0.7062,0.7156,0.7229,0.7021,0.6872,0.6916,0.6913,0.7017,0.7295,0.6892,0.7187
Pre,S,0.5294,0.5016,0.5162,0.5281,0.5157,0.5246,0.5227,0.5499,0.5366,0.5159,0.5278,0.5304,0.5456,0.5139,0.5275
Rec,V,0.6222,0.6111,0.8444,0.9444,0.9,0.9,0.9333,0.7667,0.7556,0.8333,0.7889,0.8222,0.8778,0.8222,0.9
Spe, ,0.6687,0.6562,0.5375,0.5125,0.5125,0.5313,0.5125,0.6375,0.6188,0.55,0.5938,0.5813,0.5813,0.5562,0.5375
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.828,0.824,0.792,0.804,0.812,0.804,0.796,0.8,0.812,0.8,0.84,0.816,0.808,0.788,0.812
F1,S,0.7648,0.7602,0.7413,0.7411,0.7476,0.7456,0.735,0.7389,0.7508,0.7414,0.7785,0.7539,0.7444,0.7294,0.7499
Gmean,2,0.804,0.8016,0.7854,0.7846,0.7906,0.7894,0.7824,0.7854,0.7935,0.7865,0.8156,0.7971,0.7877,0.7782,0.7941
B_Acc,C,0.8088,0.8057,0.7876,0.7892,0.7954,0.7931,0.785,0.7881,0.7975,0.7898,0.8205,0.8008,0.7922,0.7802,0.7976
Pre,S,0.8092,0.7964,0.7235,0.7643,0.7747,0.7517,0.7351,0.7424,0.7699,0.7403,0.8256,0.774,0.7689,0.7143,0.7658
Rec,V,0.7284,0.7284,0.77,0.7284,0.7279,0.7489,0.7389,0.7389,0.7384,0.7489,0.7384,0.7384,0.7279,0.7489,0.7384
Spe, ,0.8893,0.883,0.8052,0.8501,0.863,0.8372,0.831,0.8372,0.8566,0.8306,0.9026,0.8632,0.8566,0.8114,0.8568
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.7614,0.7614,0.7517,0.3663,0.3565,0.7223,0.2647,0.7256,0.7256,0.7387,0.7224,0.7452,0.7354,0.7355,0.7354
F1,S,0.3766,0.3867,0.5447,0.4479,0.4564,0.5189,0.4186,0.5226,0.5309,0.5225,0.5027,0.5242,0.52,0.5204,0.5041
Gmean,3,0.5041,0.5143,0.6785,0.1378,0.1496,0.661,0,0.6658,0.674,0.6621,0.6478,0.6615,0.659,0.6602,0.6451
B_Acc,C,0.6049,0.6089,0.6938,0.5407,0.5501,0.6782,0.5,0.6801,0.6841,0.6813,0.6661,0.6817,0.6743,0.6791,0.667
Pre,S,0.631,0.6239,0.5307,0.3247,0.3085,0.4849,0.2647,0.4864,0.4861,0.5039,0.4773,0.5153,0.5045,0.5019,0.4976
Rec,V,0.2721,0.2846,0.5699,0.9125,0.9625,0.5831,1,0.5824,0.5949,0.5581,0.5456,0.5456,0.5441,0.5581,0.5206
Spe, ,0.9378,0.9333,0.8178,0.1689,0.1378,0.7733,0,0.7778,0.7733,0.8044,0.7867,0.8178,0.8044,0.8,0.8133
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8484,0.8581,0.8451,0.829,0.829,0.829,0.8226,0.8,0.8322,0.8258,0.8161,0.8097,0.7903,0.8355,0.829
F1,S,0.7677,0.7858,0.7874,0.7731,0.766,0.7665,0.7696,0.7483,0.7801,0.7718,0.767,0.7542,0.6229,0.7806,0.7813
Gmean,4,0.8242,0.8405,0.8531,0.8454,0.8363,0.8363,0.8392,0.8227,0.8467,0.8425,0.8405,0.829,0.6801,0.8508,0.8502
B_Acc,C,0.8279,0.8429,0.8543,0.8476,0.8372,0.8372,0.8429,0.8288,0.85,0.8453,0.846,0.8333,0.7876,0.8524,0.8555
Pre,S,0.7765,0.7807,0.7159,0.679,0.6931,0.6939,0.6782,0.6405,0.696,0.6789,0.6553,0.6531,0.5209,0.6904,0.6793
Rec,V,0.77,0.8,0.88,0.9,0.86,0.86,0.9,0.91,0.9,0.9,0.93,0.9,0.78,0.9,0.93
Spe, ,0.8857,0.8857,0.8286,0.7952,0.8143,0.8143,0.7857,0.7476,0.8,0.7905,0.7619,0.7667,0.7952,0.8047,0.781
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.6781,0.6875,0.5094,0.3844,0.4719,0.4937,0.3562,0.5469,0.5531,0.525,0.5219,0.5063,0.4625,0.5125,0.5094
F1,S,0.2594,0.3094,0.4988,0.4985,0.5437,0.5017,0.5102,0.4079,0.4686,0.4554,0.4338,0.4582,0.4736,0.5047,0.4479
Gmean,5,0.3893,0.436,0.5377,0.1938,0.4162,0.5219,0.08164,0.515,0.5567,0.5299,0.5218,0.5238,0.4178,0.5415,0.5118
B_Acc,C,0.5509,0.5675,0.5666,0.5186,0.5864,0.5617,0.5167,0.5263,0.5657,0.5471,0.5264,0.5391,0.5302,0.5711,0.5383
Pre,S,0.6055,0.6572,0.377,0.345,0.3847,0.3731,0.3428,0.3694,0.3884,0.3647,0.3658,0.3602,0.3553,0.3812,0.3552
Rec,V,0.1675,0.2056,0.739,0.9182,0.9342,0.7667,1,0.4667,0.6013,0.616,0.542,0.6368,0.7312,0.748,0.6264
Spe, ,0.9343,0.9294,0.3942,0.119,0.2385,0.3567,0.03334,0.5859,0.5301,0.4782,0.5108,0.4413,0.3293,0.3941,0.4502
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8625,0.8685,0.7128,0.7738,0.7952,0.734,0.7493,0.7219,0.7126,0.7217,0.7218,0.7432,0.7036,0.7157,0.7158
F1,S,0,0,0.381,0.3463,0.4032,0.3564,0.3647,0.4204,0.3685,0.4214,0.3948,0.4221,0.343,0.398,0.3992
Gmean,6,0,0,0.6959,0.6051,0.6643,0.6531,0.6532,0.739,0.6755,0.7383,0.7078,0.7272,0.6456,0.7133,0.7056
B_Acc,C,0.4947,0.4982,0.7037,0.6383,0.6894,0.6651,0.6645,0.7412,0.6836,0.7398,0.709,0.7334,0.6555,0.719,0.7069
Pre,S,0,0,0.2637,0.2812,0.3206,0.2609,0.2757,0.2903,0.2597,0.2936,0.2779,0.3005,0.2461,0.2776,0.2823
Rec,V,0,0,0.6917,0.4556,0.5472,0.5722,0.55,0.7667,0.6444,0.7639,0.6917,0.7194,0.5917,0.7222,0.6944
Spe, ,0.9895,0.9965,0.7158,0.8211,0.8316,0.7579,0.779,0.7158,0.7228,0.7158,0.7263,0.7474,0.7193,0.7158,0.7193
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.6342,0.6434,0.5612,0.4209,0.4144,0.5367,0.4086,0.5551,0.5673,0.5732,0.5734,0.5306,0.5247,0.558,0.5
F1,S,0.2734,0.2689,0.4233,0.4777,0.4389,0.4288,0.4693,0.4128,0.3862,0.431,0.4293,0.4209,0.3949,0.4475,0.4163
Gmean,7,0.4105,0.4158,0.5418,0.3778,0.3772,0.5359,0.3656,0.5306,0.5203,0.5489,0.5443,0.5329,0.5079,0.5567,0.5128
B_Acc,C,0.5243,0.5279,0.5493,0.539,0.5064,0.5424,0.5268,0.5423,0.5325,0.5578,0.5615,0.536,0.5204,0.5632,0.5222
Pre,S,0.4086,0.3854,0.3618,0.3334,0.314,0.3511,0.3265,0.3533,0.3466,0.3759,0.3722,0.3424,0.3299,0.3697,0.3278
Rec,V,0.2352,0.2243,0.519,0.8529,0.7476,0.5586,0.8419,0.5095,0.4409,0.5186,0.53,0.55,0.51,0.5776,0.5795
Spe, ,0.8135,0.8316,0.5796,0.225,0.2652,0.5262,0.2118,0.5751,0.6239,0.597,0.593,0.5219,0.5309,0.5489,0.4649
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8836,0.8866,0.8448,0.8806,0.8806,0.8746,0.8746,0.8507,0.8537,0.8477,0.8567,0.8418,0.8477,0.8507,0.8537
F1,S,0.6149,0.6266,0.6525,0.698,0.6872,0.6929,0.6826,0.6611,0.6656,0.6511,0.6706,0.6418,0.6507,0.6608,0.6656
Gmean,8,0.7683,0.787,0.8969,0.9032,0.886,0.9074,0.8914,0.9008,0.9026,0.8904,0.9046,0.8865,0.8905,0.9009,0.9026
B_Acc,C,0.786,0.8042,0.9009,0.9043,0.8878,0.909,0.8925,0.9044,0.9061,0.8932,0.9079,0.8897,0.8932,0.9043,0.9061
Pre,S,0.5891,0.5837,0.4924,0.5587,0.5601,0.5448,0.5462,0.5014,0.5067,0.4956,0.5126,0.4846,0.4948,0.5006,0.5067
Rec,V,0.6489,0.6889,0.98,0.9378,0.8978,0.9578,0.9178,0.98,0.98,0.9578,0.98,0.9578,0.9578,0.98,0.98
Spe, ,0.923,0.9195,0.8218,0.8708,0.8778,0.8602,0.8673,0.8287,0.8322,0.8287,0.8357,0.8217,0.8287,0.8287,0.8322
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8391,0.8332,0.7678,0.8183,0.8243,0.7976,0.8096,0.7651,0.7857,0.8036,0.7649,0.7858,0.7887,0.7915,0.7709
F1,S,0.6109,0.6029,0.5864,0.6282,0.6002,0.6173,0.6112,0.5776,0.6182,0.6247,0.603,0.6039,0.6159,0.6231,0.5913
Gmean,9,0.699,0.6978,0.7313,0.7432,0.7058,0.747,0.7281,0.7189,0.751,0.7478,0.7489,0.7372,0.7519,0.7571,0.7336
B_Acc,C,0.7351,0.7316,0.7378,0.7588,0.7339,0.7574,0.7447,0.7281,0.7587,0.7576,0.7529,0.7458,0.76,0.762,0.7397
Pre,S,0.7389,0.7166,0.5209,0.6274,0.6652,0.5732,0.6175,0.5278,0.5704,0.5995,0.5192,0.5634,0.5558,0.567,0.5296
Rec,V,0.5331,0.5338,0.6801,0.6434,0.5581,0.6802,0.6191,0.6566,0.7059,0.6684,0.7302,0.6684,0.7052,0.7052,0.6802
Spe, ,0.9372,0.9293,0.7954,0.8743,0.9097,0.8347,0.8703,0.7996,0.8115,0.8468,0.7757,0.8232,0.815,0.8188,0.7994
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.748,0.7193,0.7136,0.6877,0.6734,0.745,0.6965,0.7164,0.7365,0.7508,0.7336,0.7279,0.7136,0.6877,0.7279
F1,S,0.6467,0.5862,0.6433,0.6577,0.6272,0.6908,0.6624,0.6456,0.6811,0.6844,0.6702,0.6592,0.66,0.6138,0.6763
Gmean,10,0.7116,0.6626,0.7043,0.6966,0.6789,0.7461,0.7081,0.7082,0.7362,0.7436,0.7295,0.7205,0.7163,0.6803,0.7302
B_Acc,C,0.7215,0.6819,0.7105,0.711,0.6861,0.7482,0.7155,0.712,0.7388,0.7457,0.7318,0.7231,0.7189,0.6828,0.7344
Pre,S,0.689,0.6619,0.6019,0.5615,0.5486,0.6327,0.5707,0.6066,0.6288,0.6487,0.6247,0.6228,0.5967,0.5719,0.6104
Rec,V,0.6131,0.5294,0.7026,0.8097,0.7407,0.7638,0.7946,0.696,0.7493,0.7262,0.7265,0.7043,0.7422,0.6652,0.7641
Spe, ,0.8299,0.8344,0.7185,0.6123,0.6315,0.7327,0.6365,0.7279,0.7283,0.7651,0.7372,0.7419,0.6956,0.7004,0.7047
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8661,0.8661,0.8802,0.8746,0.8775,0.8632,0.8803,0.8634,0.8547,0.8746,0.849,0.8462,0.8604,0.8917,0.869
F1,S,0.7866,0.7905,0.8224,0.8036,0.8119,0.7915,0.8168,0.8006,0.7822,0.8206,0.7709,0.774,0.793,0.8412,0.8047
Gmean,11,0.8155,0.8209,0.853,0.8316,0.8391,0.8243,0.8435,0.8339,0.8205,0.854,0.8092,0.8154,0.829,0.8685,0.8373
B_Acc,C,0.8275,0.8307,0.8574,0.8411,0.8467,0.8322,0.8506,0.8391,0.8273,0.8568,0.8174,0.8206,0.8353,0.8717,0.8435
Pre,S,0.9167,0.8996,0.876,0.9105,0.9072,0.8808,0.9077,0.8617,0.8477,0.8529,0.8548,0.8264,0.8574,0.8876,0.871
Rec,V,0.6905,0.7058,0.7769,0.7222,0.7378,0.7222,0.7455,0.7538,0.7302,0.7935,0.7058,0.7302,0.7462,0.8012,0.7535
Spe, ,0.9645,0.9556,0.9378,0.96,0.9556,0.9422,0.9556,0.9244,0.9244,0.92,0.9289,0.9111,0.9244,0.9422,0.9334
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.9972,0.9972,0.9972,0.9972,0.9944,0.9972,1,0.9972,0.9972,0.9972,0.9972,0.9972,1,0.9972,1
F1,S,0.9953,0.9956,0.9956,0.9956,0.9909,0.9956,1,0.9956,0.9956,0.9956,0.9956,0.9956,1,0.9956,1
Gmean,12,0.9954,0.998,0.998,0.998,0.9934,0.998,1,0.998,0.998,0.998,0.998,0.998,1,0.998,1
B_Acc,C,0.9955,0.998,0.998,0.998,0.9935,0.998,1,0.998,0.998,0.998,0.998,0.998,1,0.998,1
Pre,S,1,0.9913,0.9913,0.9913,0.9913,0.9913,1,0.9913,0.9913,0.9913,0.9913,0.9913,1,0.9913,1
Rec,V,0.9909,1,1,1,0.9909,1,1,1,1,1,1,1,1,1,1
Spe, ,1,0.996,0.996,0.996,0.996,0.996,1,0.996,0.996,0.996,0.996,0.996,1,0.996,1
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8014,0.7988,0.6172,0.6173,0.6061,0.6309,0.4415,0.6555,0.6501,0.6364,0.6307,0.6474,0.6422,0.6227,0.653
F1,S,0.3718,0.3526,0.4093,0.4067,0.418,0.4146,0.4014,0.4026,0.4274,0.4227,0.4031,0.4365,0.4242,0.428,0.4346
Gmean,13,0.4881,0.4753,0.5963,0.5937,0.6031,0.6018,0.3554,0.5884,0.6144,0.6097,0.5923,0.6209,0.6046,0.6131,0.6205
B_Acc,C,0.6172,0.6073,0.6032,0.5991,0.6082,0.608,0.5621,0.6037,0.6205,0.6157,0.5997,0.627,0.6154,0.6189,0.6265
Pre,S,0.725,0.6983,0.3206,0.3207,0.3199,0.3302,0.2803,0.3381,0.3454,0.3364,0.3227,0.3511,0.3533,0.332,0.3514
Rec,V,0.2706,0.2471,0.5765,0.5647,0.6118,0.5647,0.7882,0.5059,0.5647,0.5765,0.5412,0.5882,0.5647,0.6118,0.5765
Spe, ,0.9638,0.9675,0.6299,0.6336,0.6046,0.6513,0.336,0.7015,0.6764,0.6549,0.6583,0.6658,0.6662,0.6261,0.6765
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.9151,0.9151,0.5534,0.263,0.537,0.5698,0.08494,0.5726,0.5698,0.5342,0.5698,0.6,0.6082,0.5561,0.5562
F1,S,0,0,0.1451,0.155,0.1861,0.1527,0.1565,0.1423,0.1621,0.1117,0.1765,0.1439,0.1544,0.1557,0.1529
Gmean,14,0,0,0.49,0.2059,0.533,0.5033,0,0.4839,0.5175,0.3911,0.5546,0.441,0.4967,0.5153,0.1866
B_Acc,C,0.5,0.5,0.5052,0.506,0.5545,0.527,0.5,0.5005,0.5295,0.4516,0.5597,0.5257,0.5223,0.5219,0.5321
Pre,S,0,0,0.08664,0.08684,0.1187,0.09118,0.08494,0.086,0.09806,0.0664,0.1054,0.08624,0.09536,0.09298,0.1636
Rec,V,0,0,0.4476,0.8,0.5762,0.4762,1,0.4143,0.4809,0.3524,0.5476,0.4381,0.4191,0.4809,0.5
Spe, ,1,1,0.5629,0.2119,0.5328,0.5777,0,0.5868,0.5781,0.5508,0.5718,0.6134,0.6256,0.5628,0.5642
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8661,0.874,0.8845,0.8687,0.8713,0.8687,0.8687,0.8871,0.8556,0.8845,0.8766,0.8818,0.8924,0.8767,0.8872
F1,S,0.2044,0.2736,0.5663,0.2272,0.2771,0.2272,0.2272,0.3976,0.4507,0.4729,0.3346,0.3707,0.5267,0.4817,0.4326
Gmean,15,0.3016,0.3593,0.6946,0.3199,0.3637,0.3199,0.3199,0.4632,0.5969,0.5817,0.4222,0.4524,0.6237,0.6146,0.5333
B_Acc,C,0.5606,0.5856,0.7456,0.569,0.5916,0.569,0.569,0.6356,0.6659,0.6695,0.6226,0.6385,0.6959,0.6987,0.6499
Pre,S,0.8,0.8,0.7346,0.8,0.6667,0.8,0.8,0.75,0.6047,0.8533,0.7273,0.7055,0.8143,0.7524,0.9333
Rec,V,0.1212,0.1712,0.547,0.1379,0.1894,0.1379,0.1379,0.2742,0.3939,0.3606,0.2576,0.2894,0.4136,0.4439,0.3091
Spe, ,1,1,0.9441,1,0.9938,1,1,0.9969,0.9378,0.9783,0.9877,0.9876,0.9782,0.9536,0.9908
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.9006,0.8956,0.893,0.8879,0.8853,0.8878,0.8905,0.8853,0.8828,0.8904,0.8777,0.8854,0.8752,0.8879,0.8853
F1,S,0.8749,0.872,0.8719,0.8654,0.8627,0.8667,0.8687,0.8633,0.8597,0.871,0.8584,0.8672,0.8547,0.8653,0.8648
Gmean,16,0.906,0.9042,0.9054,0.8988,0.8965,0.9005,0.9008,0.8978,0.8926,0.905,0.8938,0.8997,0.8876,0.899,0.8996
B_Acc,C,0.9069,0.9055,0.9076,0.9007,0.8985,0.9033,0.9027,0.9001,0.8951,0.9081,0.8979,0.9041,0.8918,0.9008,0.9027
Pre,S,0.8257,0.8104,0.7951,0.7944,0.7904,0.7881,0.8004,0.7859,0.7918,0.7852,0.7653,0.7811,0.7753,0.7941,0.7794
Rec,V,0.9322,0.9457,0.9662,0.9524,0.9522,0.9657,0.9524,0.9593,0.9453,0.9795,0.9795,0.9795,0.9591,0.9526,0.9726
Spe, ,0.8817,0.8653,0.849,0.849,0.8449,0.8408,0.8531,0.8408,0.8449,0.8367,0.8163,0.8286,0.8245,0.849,0.8326
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
Acc,D,0.8125,0.8075,0.7325,0.52,0.6425,0.6275,0.5525,0.6625,0.7575,0.7225,0.69,0.625,0.7225,0.715,0.69
F1,S,0.4537,0.3529,0.5189,0.4378,0.4787,0.4545,0.4356,0.4575,0.5452,0.4987,0.4867,0.4611,0.5346,0.5013,0.5111
Gmean,17,0.5731,0.4443,0.6895,0.5443,0.6553,0.633,0.61,0.6451,0.7089,0.679,0.671,0.6387,0.6939,0.6835,0.6756
B_Acc,C,0.6504,0.6156,0.6934,0.6272,0.6747,0.6454,0.6324,0.6522,0.7174,0.683,0.6738,0.6516,0.7106,0.686,0.6896
Pre,S,0.6841,0.5778,0.4507,0.3036,0.371,0.3518,0.3036,0.3623,0.4848,0.4219,0.3955,0.3548,0.467,0.4163,0.4404
Rec,V,0.3556,0.2667,0.6222,0.8222,0.7333,0.6778,0.7778,0.6333,0.6445,0.6111,0.6445,0.7,0.6889,0.6333,0.6889
Spe, ,0.9452,0.9645,0.7645,0.4323,0.6161,0.6129,0.4871,0.671,0.7903,0.7548,0.7032,0.6032,0.7323,0.7387,0.6903
,Dataset,MSE,BCE,WBCE,Pure_Fbeta,Any_Fbeta,WBCEFL,SPLFL,Pure_Gmean,Any_Gmean,WBCEGL,SPLGL,Pure_BAccu,Any_BAccu,WBCEBL,SPLBL
