,Dataset#,L,att_1,att_2,att_3,att_4
0,1,1,0.6798,0.6613,0.6904,0.6912
1,1,4,0.6572,0.6709,0.6842,0.6766
2,1,7,0.6662,0.6566,0.6519,0.6674
3,1,10,0.669,0.6791,0.6692,0.6868
4,1,13,0.6164,0.6807,0.6437,0.6862
5,1,16,0.6783,0.6679,0.6391,0.6577
6,1,19,0.6772,0.5675,0.6318,0.6151
7,1,22,0.613,0.6087,0.6273,0.6634
8,1,25,0.6129,0.5925,0.6196,0.6136
9,1,28,0.5715,0.5819,0.6147,0.5955
10,1,31,0.6183,0.5839,0.5924,0.6105
11,1,34,0.601,0.5597,0.6215,0.5544
12,1,37,0.5294,0.5816,0.5768,0.6004
13,1,40,0.5929,0.5744,0.6128,0.5294
14,1,43,0.5957,0.5569,0.5494,0.5891
15,1,46,0.5724,0.6153,0.5735,0.6377
16,1,49,0.5818,0.5535,0.5925,0.5647
17,1,52,0.5457,0.5793,0.6157,0.5294
18,1,55,0.5599,0.5559,0.5569,0.5675
19,1,58,0.5819,0.5745,0.5647,0.6281
20,1,61,0.549,0.5544,0.6032,0.5597
21,1,64,0.5832,0.6093,0.6134,0.5294
22,1,67,0.5544,0.5675,0.5443,0.5746
23,1,70,0.5789,0.5294,0.5793,0.5816
24,1,73,0.5819,0.5794,0.5569,0.6204
25,1,76,0.6068,0.6093,0.5294,0.6178
26,1,79,0.5705,0.5294,0.5294,0.5569
27,1,82,0.6021,0.5406,0.6285,0.562
28,1,85,0.451,0.6086,0.5675,0.5544
29,1,88,0.5544,0.5294,0.6043,0.5768
30,1,91,0.5735,0.6296,0.5294,0.5922
31,1,94,0.5662,0.5922,0.5294,0.5745
32,1,97,0.6137,0.6271,0.5294,0.5294
33,1,100,0.6249,0.5657,0.5616,0.5735
34,1,103,0.5932,0.5544,0.5294,0.5294
35,1,106,0.5541,0.548,0.5427,0.5767
36,1,109,0.5897,0.5399,0.5907,0.5378
37,1,112,0.5466,0.6176,0.4235,0.5544
38,1,115,0.6137,0.5544,0.5544,0.5793
39,1,118,0.5544,0.4535,0.5728,0.5316
40,1,121,0.5294,0.5294,0.5569,0.5294
41,1,124,0.5294,0.6186,0.5521,0.5544
42,1,127,0.5294,0.5897,0.5569,0.5796
43,1,130,0.5544,0.5294,0.5716,0.5767
44,1,133,0.5294,0.5897,0.577,0.5569
45,1,136,0.5735,0.5647,0.5544,0.5768
46,1,139,0.5294,0.4235,0.5518,0.5294
47,1,142,0.5705,0.6102,0.5294,0.5515
48,1,145,0.5294,0.5512,0.5345,0.6359
49,1,148,0.5647,0.5445,0.5294,0.5235
50,1,151,0.569,0.5749,0.5294,0.5647
51,1,154,0.5735,0.5543,0.62,0.637
52,1,157,0.5844,0.5544,0.5599,0.5494
53,1,160,0.5294,0.5569,0.5521,0.5985
54,1,163,0.5391,0.5794,0.5924,0.5294
55,1,166,0.5544,0.5678,0.5716,0.5569
56,1,169,0.5294,0.5443,0.6236,0.5294
57,1,172,0.5294,0.5294,0.5294,0.5544
58,1,175,0.5294,0.5781,0.549,0.5985
59,1,178,0.5294,0.4646,0.5675,0.5294
60,1,181,0.3176,0.4485,0.3176,0.4235
61,1,184,0.5594,0.5294,0.4485,0.5925
62,1,187,0.5494,0.3176,0.5294,0.4235
63,1,190,0.3176,0.3176,0.4235,0.3176
64,1,193,0.3176,0.3176,0.5294,0.2118
65,1,196,0.5294,0.5675,0.5294,0.4485
66,1,199,0.5294,0.2118,0.3558,0.5294
67,1,202,0.4235,0.4235,0.3176,0.4235
68,1,205,0.5294,0.4235,0.4235,0.3176
69,1,208,0.2118,0.5294,0.3176,0.5294
70,1,211,0.4235,0.3176,0.3176,0.4235
71,1,214,0.5294,0.4235,0.3176,0.5294
72,1,217,0.5294,0.3176,0.3176,0.5294
73,1,220,0.5294,0.4235,0.3176,0.4235
74,1,223,0.4235,0.3176,0.4235,0.2118
75,1,226,0.4235,0.4235,0.4235,0.5294
76,1,229,0.3176,0.3176,0.5294,0.4235
77,1,232,0.3176,0.3176,0.4235,0.3176
78,1,235,0.2118,0.2118,0.4235,0.3176
79,1,238,0.4235,0.3176,0.4235,0.3176
80,1,241,0.2118,0.4235,0.5294,0.3176
81,1,244,0.4235,0.3176,0.5294,0.5294
82,1,247,0.3176,0.3176,0.5294,0.3176
83,1,250,0.3176,0.3176,0.5294,0.3176
84,1,253,0.4235,0.2118,0.3176,0.2118
85,1,256,0.2118,0.3176,0.3176,0.5294
86,1,259,0.4235,0.4235,0.3176,0.5294
87,1,262,0.5294,0.4235,0.4235,0.1059
88,1,265,0.3176,0.5294,0.4235,0.4235
89,1,268,0.2118,0.3176,0.4235,0.2118
90,1,271,0.3176,0.4235,0.3176,0.5294
91,1,274,0.4235,0.4235,0.3176,0.3176
92,1,277,0.3176,0.2118,0.3176,0.4235
93,1,280,0.3176,0.5294,0.3176,0.1059
94,1,283,0.3176,0.4235,0.4235,0.5294
95,1,286,0.3176,0.4235,0.3176,0.4235
96,1,289,0.3176,0.4235,0.4235,0.5294
97,1,292,0.3176,0.3176,0.2118,0.4235
98,1,295,0.4235,0.5294,0.3176,0.3176
99,1,298,0.4235,0.5294,0.4235,0.3176
,Dataset#,L,att_1,att_2,att_3,att_4
0,2,1,0.7158,0.7184,0.7125,0.7022
1,2,4,0.7396,0.7269,0.7405,0.7508
2,2,7,0.743,0.7397,0.7735,0.7376
3,2,10,0.6998,0.7618,0.7629,0.7587
4,2,13,0.7616,0.7513,0.7232,0.7509
5,2,16,0.7581,0.7633,0.7565,0.7702
6,2,19,0.7069,0.679,0.707,0.7641
7,2,22,0.6847,0.7259,0.7404,0.684
8,2,25,0.6936,0.6874,0.7238,0.6723
9,2,28,0.6804,0.7186,0.6721,0.6774
10,2,31,0.5933,0.7383,0.6762,0.6618
11,2,34,0.712,0.6314,0.586,0.6641
12,2,37,0.641,0.7542,0.5947,0.7016
13,2,40,0.6023,0.6796,0.6723,0.6827
14,2,43,0.6723,0.6366,0.5961,0.641
15,2,46,0.5987,0.6704,0.6273,0.5548
16,2,49,0.6253,0.6233,0.6679,0.6026
17,2,52,0.5818,0.5985,0.7083,0.6435
18,2,55,0.6023,0.6304,0.5933,0.7344
19,2,58,0.6214,0.6304,0.6653,0.5548
20,2,61,0.6235,0.655,0.5933,0.6319
21,2,64,0.6069,0.6295,0.5847,0.6321
22,2,67,0.6818,0.591,0.6173,0.5813
23,2,70,0.609,0.6702,0.5847,0.6195
24,2,73,0.5987,0.6692,0.5961,0.5548
25,2,76,0.6502,0.6974,0.6385,0.6217
26,2,79,0.6023,0.5548,0.6435,0.6003
27,2,82,0.6314,0.6795,0.6345,0.6965
28,2,85,0.6807,0.6592,0.6415,0.6752
29,2,88,0.6431,0.591,0.6847,0.5842
30,2,91,0.5548,0.5818,0.5961,0.6165
31,2,94,0.6195,0.6734,0.5548,0.5987
32,2,97,0.716,0.6006,0.5933,0.6231
33,2,100,0.5548,0.6588,0.6543,0.5933
34,2,103,0.657,0.5548,0.6424,0.6892
35,2,106,0.6069,0.6023,0.637,0.591
36,2,109,0.6369,0.5548,0.5548,0.5548
37,2,112,0.6681,0.6328,0.6003,0.711
38,2,115,0.6366,0.6758,0.6177,0.6047
39,2,118,0.5933,0.6319,0.5548,0.5548
40,2,121,0.6464,0.6409,0.4781,0.5548
