,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.62,0.612,0.588,0.396,0.544,0.672,0.64,0.656,0.632
F1,S,0.4726,0.4553,0.5355,0.5397,0.6001,0.626,0.5789,0.5779,0.5903
Gmean,1,0.5599,0.5557,0.6002,0.1532,0.5414,0.6804,0.6473,0.6417,0.6424
B_Acc,C,0.5865,0.5778,0.6052,0.5233,0.6291,0.6903,0.6507,0.6681,0.6542
Pre,S,0.5374,0.4795,0.4482,0.3734,0.4437,0.5436,0.5012,0.5098,0.5017
Rec,V,0.4667,0.4556,0.6667,0.9778,0.9333,0.7556,0.6889,0.7111,0.7334
Spe, ,0.7062,0.7,0.5437,0.06874,0.325,0.625,0.6125,0.625,0.575
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.768,0.78,0.744,0.436,0.656,0.756,0.732,0.748,0.736
F1,S,0.6883,0.7099,0.7011,0.5694,0.6512,0.7056,0.6794,0.6867,0.6937
Gmean,2,0.7437,0.7609,0.75,0.2423,0.6726,0.7561,0.733,0.7411,0.7395
B_Acc,C,0.7491,0.7649,0.751,0.537,0.6893,0.7573,0.7333,0.7424,0.7423
Pre,S,0.7162,0.7286,0.6362,0.404,0.5351,0.6618,0.6287,0.6596,0.6359
Rec,V,0.6663,0.6979,0.7816,0.9695,0.8337,0.7605,0.7395,0.7189,0.7705
Spe, ,0.8318,0.8318,0.7204,0.1045,0.5449,0.754,0.7271,0.7658,0.714
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.7254,0.7418,0.5098,0.2647,0.2776,0.5651,0.477,0.4806,0.516
F1,S,0.1536,0.1914,0.4444,0.4186,0.417,0.4538,0.4269,0.4192,0.4383
Gmean,3,0.2683,0.305,0.5483,0,0.0686,0.5891,0.4437,0.4912,0.5462
B_Acc,C,0.5288,0.544,0.588,0.5,0.5016,0.6015,0.5617,0.5559,0.5807
Pre,S,0.3667,0.5057,0.3191,0.2647,0.2654,0.3449,0.3078,0.305,0.3218
Rec,V,0.111,0.1235,0.7537,1,0.9765,0.6787,0.7412,0.7162,0.7169
Spe, ,0.9467,0.9645,0.4222,0,0.02666,0.5245,0.3822,0.3955,0.4444
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8129,0.7968,0.7484,0.3903,0.6064,0.7516,0.7839,0.7355,0.7484
